165370,4536290,2824478,3322478,4067124,2250555,-101,-130,1320,566,285,674,-53,1,-24,-65,21,1341,351,455,784,7,1,-35,
165370,4536290,2824478,3322478,4067124,2250555,-91,-138,1294,566,285,674,-53,-1,-30,-51,36,1307,352,461,773,3,3,-37,
165402,4536290,2824478,3322478,4067124,2250555,-126,-134,1299,565,289,672,-53,2,-28,-58,24,1298,353,454,771,-7,6,-40,
165402,4536145,2824478,3322478,4067124,2250555,-100,-123,1322,568,283,678,-52,6,-34,-63,24,1329,353,454,771,0,3,-35,
165402,4536145,2827034,3322478,4067124,2250555,-99,-130,1338,568,283,678,-55,1,-29,-55,20,1315,354,454,770,0,-3,-34,
165402,4536145,2827034,3329994,4067124,2250555,-82,-125,1336,566,278,670,-59,1,-24,-58,24,1299,354,454,770,8,5,-33,
165402,4536145,2827034,3329994,4064961,2250555,-108,-132,1309,566,278,670,-48,9,-27,-56,15,1308,353,454,791,1,6,-33,
165402,4536145,2827034,3329994,4064961,2249291,-92,-126,1320,567,288,683,-52,7,-22,-42,18,1319,353,454,791,3,-2,-32,
165402,4536145,2827034,3329994,4064961,2249291,-96,-135,1292,568,281,679,-49,4,-27,-28,33,1279,353,457,784,0,-6,-35,
165402,4536145,2827034,3329994,4064961,2249291,-90,-116,1336,568,281,679,-53,3,-31,-64,24,1365,353,461,795,-7,-1,-34,
165356,4536145,2827034,3329994,4064961,2249291,-90,-116,1321,567,280,674,-47,-2,-31,-52,14,1311,354,461,795,0,3,-35,
165356,4536673,2827034,3329994,4064961,2249291,-101,-123,1303,567,280,674,-49,5,-31,-44,29,1292,355,455,785,2,0,-33,
165356,4536673,2827683,3329994,4064961,2249291,-96,-135,1316,570,289,680,-50,3,-26,-67,27,1320,355,455,785,-6,8,-36,
165356,4536673,2827683,3334873,4064961,2249291,-93,-130,1307,570,289,680,-49,4,-29,-60,7,1336,354,454,779,-8,13,-41,
165356,4536673,2827683,3334873,4065635,2249291,-99,-125,1298,567,288,679,-59,-5,-32,-44,25,1294,354,454,779,2,1,-31,
165356,4536673,2827683,3334873,4065635,2251149,-89,-142,1331,566,280,674,-47,0,-29,-61,15,1316,356,454,778,6,4,-26,
165356,4536673,2827683,3334873,4065635,2251149,-106,-134,1324,566,280,674,-46,1,-24,-49,31,1298,356,454,778,8,2,-27,
165356,4536673,2827683,3334873,4065635,2251149,-107,-124,1347,567,282,677,-45,3,-25,-49,24,1309,353,461,773,-6,4,-35,
165429,4536673,2827683,3334873,4065635,2251149,-106,-129,1331,567,282,677,-46,-1,-37,-60,14,1326,355,453,772,-12,6,-42,
165429,4536171,2827683,3334873,4065635,2251149,-106,-134,1317,563,284,679,-52,-1,-34,-29,24,1286,355,453,772,2,8,-40,
165429,4536171,2827656,3334873,4065635,2251149,-104,-128,1313,565,282,675,-49,6,-30,-57,19,1285,356,451,790,7,4,-36,
165429,4536171,2827656,3336796,4065635,2251149,-92,-134,1345,565,282,675,-45,9,-31,-61,19,1334,356,451,790,9,3,-34,
165429,4536171,2827656,3336796,4063478,2251149,-91,-126,1281,569,280,679,-47,4,-28,-48,26,1291,355,458,791,9,11,-33,
165429,4536171,2827656,3336796,4063478,2249779,-92,-120,1379,569,280,679,-46,5,-27,-55,31,1305,355,458,791,1,7,-41,
165429,4536171,2827656,3336796,4063478,2249779,-92,-147,1289,567,286,679,-44,4,-32,-36,23,1293,352,463,785,-1,-1,-34,
